Source,Target,Weight
8347,447,1
8347,2,1
8345,8309,1
8345,8301,1
8345,8202,1
8345,6016,1
8345,777,1
8345,577,1
8345,2,1
8344,8328,1
8344,8309,1
8344,8301,1
8344,8256,1
8344,8202,1
8344,6016,1
8344,4859,1
8344,777,1
8344,382,1
8344,2,1
8341,8347,1
8341,8338,1
8341,8325,1
8341,8309,1
8341,8301,1
8341,8202,1
8341,5659,1
8341,5284,1
8341,5174,1
8341,251,1
8341,84,1
8341,24,1
8341,21,1
8341,2,1
8336,5990,1
8336,5721,1
8336,4525,1
8336,3390,1
8336,1851,1
8336,2,1
8325,8322,1
8325,8314,1
8325,8309,1
8325,8308,1
8325,8301,1
8325,8202,1
8325,8180,1
8325,6016,1
8325,5945,1
8325,5284,1
8325,5174,1
8325,5070,1
8325,4964,1
8325,4859,1
8325,2895,1
8325,420,1
8325,24,1
8325,21,1
8325,3,1
8325,2,1
8320,5225,1
8320,4653,1
8320,4323,1
8320,1495,1
8320,1259,1
8316,1229,1
8309,8308,1
8309,8304,1
8309,8302,1
8309,8301,1
8309,8202,1
8309,7243,1
8309,6016,1
8309,5985,1
8309,5386,1
8309,4964,1
8309,4274,1
8309,3646,1
8309,2895,1
8309,2031,1
8309,1260,1
8309,195,1
8309,33,1
8309,2,1
8308,8494,1
8308,8479,1
8308,8354,1
8308,8325,1
8308,8304,1
8308,8302,1
8308,8301,1
8308,8256,1
8308,8181,1
8308,5781,1
8308,5582,1
8308,5386,1
8308,4964,1
8308,4274,1
8308,2895,1
8308,33,1
8308,2,1
8301,8576,1
8301,8567,1
8301,8559,1
8301,8558,1
8301,8555,1
8301,8553,1
8301,8552,1
8301,8542,1
8301,8539,1
8301,8536,1
8301,8526,1
8301,8524,1
8301,8522,1
8301,8520,1
8301,8518,1
8301,8515,1
8301,8513,1
8301,8510,1
8301,8508,1
8301,8505,1
8301,8503,1
8301,8502,1
8301,8500,1
8301,8498,1
8301,8496,1
8301,8495,1
8301,8494,1
8301,8489,1
8301,8488,1
8301,8487,1
8301,8486,1
8301,8485,1
8301,8483,1
8301,8482,1
8301,8479,1
8301,8477,1
8301,8475,1
8301,8471,1
8301,8470,1
8301,8465,1
8301,8464,1
8301,8458,1
8301,8457,1
8301,8456,1
8301,8452,1
8301,8449,1
8301,8448,1
8301,8442,1
8301,8438,1
8301,8431,1
8301,8428,1
8301,8426,1
8301,8424,1
8301,8422,1
8301,8419,1
8301,8418,1
8301,8409,1
8301,8402,1
8301,8401,1
8301,8390,1
8301,8382,1
8301,8376,1
8301,8370,1
8301,8369,1
8301,8367,1
8301,8366,1
8301,8364,1
8301,8363,1
8301,8362,1
8301,8360,1
8301,8359,1
8301,8358,1
8301,8357,1
8301,8354,1
8301,8353,1
8301,8351,1
8301,8350,1
8301,8349,1
8301,8347,1
8301,8345,1
8301,8344,1
8301,8342,1
8301,8341,1
8301,8339,1
8301,8332,1
8301,8331,1
8301,8330,1
8301,8325,1
8301,8310,1
8301,8309,1
8301,8308,1
8301,8307,1
8301,8303,1
8301,8292,1
8301,8256,1
8301,8236,1
8301,8226,1
8301,8219,1
8301,8207,1
8301,8202,1
8262,8256,1
8262,2,1
8256,8308,1
8256,8180,1
8256,6388,1
8256,2,1
8178,2,1
8174,4173,1
8161,2,1
8143,2,1
8116,2,1
8078,2,1
8048,2,1
8026,2,1
7996,619,1
7996,2,1
7993,8026,1
7993,619,1
7993,2,1
7981,8183,1
7981,619,1
7981,2,1
7973,619,1
7973,2,1
7962,2,1
8608,8606,1
8608,8604,1
8608,2,1
8604,8603,1
8604,8602,1
8604,8194,1
8604,7954,1
8604,7497,1
8604,7313,1
8604,7113,1
8604,6581,1
8604,6375,1
8604,6355,1
8604,6294,1
8604,6212,1
8604,6103,1
8604,6079,1
8604,6048,1
8604,4759,1
8604,4640,1
8604,4081,1
8604,3393,1
8604,3278,1
8604,3219,1
8604,3024,1
8604,2985,1
8604,2197,1
8604,1424,1
8604,1168,1
8604,605,1
8604,304,1
8604,257,1
7138,8211,1
7138,7669,1
7138,2,1
6306,6360,1
5953,6284,1
5953,777,1
5953,353,1
5953,2,1
5737,5981,1
5592,7785,1
5592,777,1
5394,7381,1
5394,6258,1
5394,777,1
5068,6599,1
5068,777,1
5068,346,1
4873,1955,1
4526,5570,1
4332,3266,1
4296,6469,1
4016,777,1
3844,6539,1
3844,6020,1
3844,3538,1
3844,1678,1
3844,777,1
3844,2,1
1825,5914,1
1767,6771,1
1767,5175,1
1767,4964,1
1767,619,1
1478,5201,1
1478,777,1
816,346,1
610,5201,1
610,5013,1
610,1589,1
610,777,1
610,346,1
610,2,1
408,777,1
408,2,1
386,5570,1
386,5307,1
386,487,1
386,484,1
386,243,1
386,195,1
321,8298,1
321,5822,1
317,2,1
246,5652,1
246,5307,1
246,555,1
246,445,1
246,346,1
246,264,1
246,2,1
226,485,1
226,346,1
226,283,1
226,55,1
226,2,1
6944,2,1
6410,6409,1
3469,5177,1
2375,607,1
2213,8002,1
2213,5388,1
2213,1678,1
2213,777,1
2213,59,1
8605,8604,1
8605,8603,1
8605,8602,1
8605,7520,1
8605,4771,1
8605,3460,1
8605,3294,1
8605,2932,1
8605,1709,1
8605,1180,1
5157,6189,1
5157,5307,1
5157,5178,1
5157,5156,1
5157,3137,1
5157,3114,1
5157,3017,1
5157,2020,1
5157,777,1
